price_total,max_guests,num_bedrooms,distance_city_center,distance_metro,attraction_index_norm,restaurant_index_norm,proximity_index,room_type_Private room,room_type_Shared room,city_Athens,city_Barcelona,city_Berlin,city_Budapest,city_Lisbon,city_London,city_Paris,city_Rome,city_Vienna,district_Berlin,district_Budapest,district_Citta metropolitana di Roma Capitale,district_Departement de Seine-Saint-Denis,district_Departement des Hauts-de-Seine,district_Departement du Val-de-Marne,district_Gemeente Amsterdam,district_Gemeente Diemen,district_Gemeente Ouder-Amstel,district_Greater London,district_Lisbon,district_Loures,district_Nomarchia Athinas,district_Oeiras,district_Other,district_Paris,district_Politischer Bezirk Modling,district_Politischer Bezirk Wien-Umgebung,district_Provincia de Barcelona,district_Rome,district_Wien Stadt,day_type_weekend
615.1777569207177,2.0,1,1.0576193314364548,1.0653391259990903,22.390342348843035,33.21693222543855,0.6410555311078227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196.25762359690677,2.0,1,2.8706328438025386,1.2788940751193616,8.985502955930471,14.65175530387267,0.3763202400097957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317.7513227735386,2.0,1,1.2470836669767065,1.098774337645081,14.155088775077774,25.53578403823317,0.5883114455360643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.1254314135428,2.0,1,1.1674923014349312,0.9837430031835354,14.762676775212997,26.728259416138435,0.6219833924721339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.4757055305583,2.0,1,4.230634296706812,2.687144039939682,4.882771508296015,8.098177778837142,0.242099858922179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112.1252536322902,2.0,1,4.180814737167991,2.80843797194201,4.938748910297056,8.2056622529484,0.2402238478749979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
375.96138206589467,2.0,1,3.366018582385255,0.2258822993056595,9.003132505586176,15.131688951667623,0.5943549746636873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.3784804083047,2.0,1,4.1272800185441785,0.8393253845123759,6.84279845448336,11.455977561319465,0.3752701406019787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184.426043842478,4.0,1,4.88547764075742,1.0948368113158276,4.853786833165169,7.9906732258432704,0.3180862060294038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
692.3729578224492,2.0,1,1.1263269723055738,1.1210705457980177,20.458281696742496,32.24898332294269,0.6154806422851138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555.0610938888614,4.0,3,3.363590724697365,0.6974224938368218,8.27285904308738,13.857834885556043,0.4317167470735307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.942233689428,3.0,2,3.856290112898853,0.7279622388446657,7.875040072134487,12.839491325654029,0.4049943728263284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301.9496864216394,4.0,2,4.075247886453735,1.8734109911985728,5.22287531464615,8.50988346453865,0.2793975330953022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471.9603420793648,2.0,0,4.147086685675081,0.0383546937010648,6.289420865346949,10.5481248467903,0.707885438958399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79.32896634592174,2.0,1,5.611750155516678,3.911722315852436,3.777765633933668,6.207535156323151,0.1825341310542402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
588.7388978636394,4.0,2,2.8549916690296686,1.7025833727524873,10.74067716343327,18.91024119797041,0.3448480310594121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.2784355362554,2.0,1,6.411657372487183,4.143226904079955,3.559099958715495,5.853131141032784,0.1658884075013406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706.2529673081107,2.0,1,0.5403538681782272,0.3386577422231185,29.5787665358304,56.92349035592166,1.0305624396097888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769.6721568245639,5.0,2,3.69500542587883,0.3975279375938017,6.180613148565572,10.260750345646876,0.5011165338081216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483.39867374818186,2.0,0,1.0978692589754402,0.9569279642150376,15.5177571939521,29.72414274925484,0.6439961214527312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795.2836544235217,2.0,1,0.3846115997106273,0.3126380462316873,35.31320185383912,56.54553593820981,1.160475779957945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.0884241894828,2.0,0,4.224208587262892,1.5193110444768114,5.758167230375796,9.670859100364115,0.2967384886390766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88.09572368398197,4.0,1,6.198278628987274,2.3712668616978507,3.482092877693492,5.670972847069203,0.2089879574546013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
397.59601680134,2.0,1,3.0194408531429744,0.7924066228604738,7.654017689281721,12.735117975829793,0.431020317757708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845.3614494117652,2.0,1,0.3633454412498557,0.2096397288159174,65.57763876358618,52.618699593521626,1.2335491643715617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.33965489068163,4.0,1,5.036497714450563,1.2466108857508118,4.617548495480738,7.601952990444291,0.2981949301679981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
457.481166611326,2.0,1,1.151764132843782,0.8970263744801004,22.52234721244361,43.76081098144154,0.6385311506590398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841.6417164500958,2.0,1,0.3605068051816017,0.2235065665493052,54.554070922707645,53.066098548566586,1.2281213399897597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489.0114369476193,2.0,1,1.4833705939880382,0.5362382328069959,17.737557054546834,25.783140078027184,0.6424432616886409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530.0814245704971,2.0,1,0.9750693378669916,1.1049968776580508,18.82992403332156,36.83225824021007,0.6614702144848882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.79768539883952,2.0,1,5.839438156140002,3.833064537056145,3.913913648450464,6.450355588362909,0.1796549438016718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379.0407199536175,2.0,1,3.0295222155851818,0.9112465307319396,7.409649671261135,12.32835988956555,0.4109051515954927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342.6264742867828,3.0,2,4.416816886287283,0.4468093520238611,6.207463010830767,10.379214249330616,0.4592221825606777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
283.41422203696334,2.0,1,2.564051903620257,1.2481531877884884,8.872104119504572,14.57511133167701,0.4000653347948864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
